term	comparison	estimate	conf.low	conf.high	adj.p.value
drug_class	antiinflammatory-antiinfective	-182.695856916457	-237.571624577675	-127.820089255239	3.0409008644483e-12
drug_class	antineoplastic-antiinfective	-86.0686644985808	-121.182543741822	-50.9547852553392	3.1783464748969e-12
drug_class	cardio-antiinfective	-142.603878179342	-182.944306975825	-102.26344938286	2.93431945408429e-12
drug_class	cns-antiinfective	-247.613800163257	-282.972842285151	-212.254758041363	2.93420843178183e-12
drug_class	dermatologic-antiinfective	-205.81118357677	-299.29554637137	-112.32682078217	4.7808312864106e-11
drug_class	gastrointestinal-antiinfective	-92.1330317765751	-156.702367615841	-27.5636959373096	0.000198098648196976
drug_class	hematologic-antiinfective	-63.373401971929	-126.955984973038	0.209181029179646	0.0516785932667765
drug_class	lipidregulating-antiinfective	-165.90578775642	-245.595496051997	-86.2160794608437	7.19892589984283e-10
drug_class	reproductivecontrol-antiinfective	-129.900523089315	-213.526741979183	-46.2743041994474	2.52127948489056e-05
drug_class	respiratorysystem-antiinfective	-150.537860927153	-251.316763895578	-49.7589579587273	6.8111860261455e-05
drug_class	urological-antiinfective	-180.067817823704	-364.550133303542	4.41449765613314	0.0633343640230618
drug_class	antineoplastic-antiinflammatory	96.6271924178766	38.0013413731789	155.253043462574	4.78666454029053e-06
drug_class	cardio-antiinflammatory	40.0919787371149	-21.8059702651757	101.989927739406	0.610166276839253
drug_class	cns-antiinflammatory	-64.9179432467994	-123.690962183927	-6.14492430967143	0.0161151124729783
drug_class	dermatologic-antiinflammatory	-23.115326660313	-127.725708469761	81.4950551491351	0.999896619961191
drug_class	gastrointestinal-antiinflammatory	90.5628251398823	10.7304693815183	170.395180898246	0.0113365318445455
drug_class	hematologic-antiinflammatory	119.322454944528	40.2860661334308	198.358843755626	5.23890668738813e-05
drug_class	lipidregulating-antiinflammatory	16.7900691600371	-75.7002303499127	109.280368669987	0.999985806758561
drug_class	reproductivecontrol-antiinflammatory	52.7953338271423	-43.1074835507751	148.69815120506	0.818573292165325
drug_class	respiratorysystem-antiinflammatory	32.1579959893046	-79.0193091530915	143.335301131701	0.998633994721097
drug_class	urological-antiinflammatory	2.62803909275306	-187.734064856558	192.990143042064	1
drug_class	cardio-antineoplastic	-56.5352136807617	-101.845154419976	-11.2252729415471	0.00267907043653681
drug_class	cns-antineoplastic	-161.545135664676	-202.482922537991	-120.607348791361	2.93420843178183e-12
drug_class	dermatologic-antineoplastic	-119.74251907819	-215.476351245399	-24.0086869109799	0.00257149178820437
drug_class	gastrointestinal-antineoplastic	-6.06436727799428	-73.8496139400148	61.7208793840262	0.999999992165402
drug_class	hematologic-antineoplastic	22.6952625266518	-44.1507201155381	89.5412451688418	0.994320072191276
drug_class	lipidregulating-antineoplastic	-79.8371232578395	-162.15413330158	2.47988678590052	0.0672363009762552
drug_class	reproductivecontrol-antineoplastic	-43.8318585907343	-129.965388764083	42.3016715826144	0.884635002436714
drug_class	respiratorysystem-antineoplastic	-64.469196428572	-167.338180178906	38.3997873217617	0.659546022318072
drug_class	urological-antineoplastic	-93.9991533251235	-279.631492261822	91.6331856115752	0.888061598260498
drug_class	cns-cardio	-105.009921983914	-150.510120599525	-59.5097233683032	6.37656594193459e-12
drug_class	dermatologic-cardio	-63.2073053974279	-160.979143374396	34.5645325795405	0.613100078885456
drug_class	gastrointestinal-cardio	50.4708464027674	-20.1634607362288	121.105153541764	0.450835481014039
drug_class	hematologic-cardio	79.2304762074135	9.49704752808462	148.963904886742	0.0110972877936962
drug_class	lipidregulating-cardio	-23.3019095770778	-107.9804536276	61.3766344734447	0.999139808082682
drug_class	reproductivecontrol-cardio	12.7033550900274	-75.689804713762	101.096514893817	0.999998752356255
drug_class	respiratorysystem-cardio	-7.93398274781032	-112.702267537634	96.8343020420129	0.999999998714813
drug_class	urological-cardio	-37.4639396443619	-224.155479193117	149.227599904393	0.999960601400612
drug_class	dermatologic-cns	41.8026165864864	-54.0214094492025	137.626642622175	0.958601535201583
drug_class	gastrointestinal-cns	155.480768386682	87.5681995256831	223.39333724768	8.33388913434874e-12
drug_class	hematologic-cns	184.240398191328	117.265307749665	251.21548863299	3.03390645939317e-12
drug_class	lipidregulating-cns	81.7080124068365	-0.713874776181299	164.129899589854	0.0545218615442293
drug_class	reproductivecontrol-cns	117.713277073942	31.4795112719539	203.947042875929	0.000508141997691447
drug_class	respiratorysystem-cns	97.075939236104	-5.87698768729794	200.028866159506	0.0865993532192967
drug_class	urological-cns	67.5459823395524	-118.132887226638	253.224851905743	0.989853303286907
drug_class	gastrointestinal-dermatologic	113.678151800195	3.67278267380046	223.68352092659	0.0354360399053214
drug_class	hematologic-dermatologic	142.437781604841	33.0086859903597	251.866877219323	0.00127412900671209
drug_class	lipidregulating-dermatologic	39.9053958203501	-79.603732342082	159.414523982782	0.995077899549781
drug_class	reproductivecontrol-dermatologic	75.9106604874553	-46.2585933848942	198.079914359805	0.671891116496812
drug_class	respiratorysystem-dermatologic	55.2733226496176	-79.2196860513177	189.766331350553	0.973353774895858
drug_class	urological-dermatologic	25.743365753066	-179.111965714565	230.598697220697	0.999999698796268
drug_class	hematologic-gastrointestinal	28.7596298046461	-57.290355730593	114.809615339885	0.995038395199607
drug_class	lipidregulating-gastrointestinal	-73.7727559798452	-172.323782142722	24.778270183032	0.374146893950838
drug_class	reproductivecontrol-gastrointestinal	-37.76749131274	-139.527992664385	63.9930100389046	0.988044038079903
drug_class	respiratorysystem-gastrointestinal	-58.4048291505777	-174.672805967246	57.8631476660906	0.89344609592998
drug_class	urological-gastrointestinal	-87.9347860471293	-281.314153804717	105.444581710458	0.944519655654153
drug_class	lipidregulating-hematologic	-102.532385784491	-200.439742444372	-4.62502912461053	0.0305710909559862
drug_class	reproductivecontrol-hematologic	-66.5271211173861	-167.66438114408	34.6101389093077	0.586085188390395
drug_class	respiratorysystem-hematologic	-87.1644589552238	-202.887352815559	28.558434905111	0.364139242782627
drug_class	urological-hematologic	-116.694415851775	-309.746547683292	76.3577159797413	0.709921038823435
drug_class	reproductivecontrol-lipidregulating	36.0052646671052	-75.9610254065071	147.971554740718	0.996455354048083
drug_class	respiratorysystem-lipidregulating	15.3679268292675	-109.929690508619	140.665544167155	0.999999767436666
drug_class	urological-lipidregulating	-14.162030067284	-213.101293039264	184.777232904696	0.999999999344081
drug_class	respiratorysystem-reproductivecontrol	-20.6373378378377	-148.474686793976	107.200011118301	0.999995782104697
drug_class	urological-reproductivecontrol	-50.1672947343893	-250.715855510617	150.381266041839	0.99965221629656
drug_class	urological-respiratorysystem	-29.5299568965515	-237.815261292036	178.755347498933	0.999998918688194
